"Tests by Day","8","2020-03-05 00:00:00","8","","","",""
"Tests by Day","11","2020-03-04 00:00:00","11","","","",""
"Tests by Day","1","2020-03-03 00:00:00","1","","","",""
"Tests by Day","5","2020-03-02 00:00:00","5","","","",""
"Tests by Day","3","2020-03-01 00:00:00","3","","","",""
"Tests by Day","1","2020-02-28 00:00:00","1","","","",""
"Tests by Day","5","2020-02-27 00:00:00","5","","","",""
"Tests by Day","5","2020-02-26 00:00:00","5","","","",""
"Tests by Day","4","2020-02-25 00:00:00","4","","","",""
"Tests by Day","1","2020-02-24 00:00:00","1","","","",""
"Tests by Day","1","2020-02-23 00:00:00","1","","","",""
"Tests by Day","1","2020-02-22 00:00:00","1","","","",""
"% Positive Overall (PCR)","0.12941056634524","","","","","",""
"% Positive Overall","0.106971363205033","","","","","",""
"Map of Arizona","YUMA","38716","32.7539","-113.9364","YUMA","38716",""
"Map of Arizona","YAVAPAI","20407","34.7064","-112.4429","YAVAPAI","20407",""
"Map of Arizona","SANTA CRUZ","6426","31.5332","-110.812","SANTA CRUZ","6426",""
"Map of Arizona","PINAL","45218","32.9849","-111.4931","PINAL","45218",""
"Map of Arizona","PIMA","93409","31.9681","-111.7806","PIMA","93409",""
"Map of Arizona","NAVAJO","14698","35.3134","-110.2972","NAVAJO","14698",""
"Map of Arizona","MOHAVE","11553","35.6177","-113.9958","MOHAVE","11553",""
"Map of Arizona","MARICOPA","481236","33.2798","-112.7681","MARICOPA","481236",""
"Map of Arizona","LA PAZ","4358","33.6724","-113.9329","LA PAZ","4358",""
"Map of Arizona","GREENLEE","546","33.1001","-109.2714","GREENLEE","546",""
"Map of Arizona","GRAHAM","1707","33.0361","-109.958","GRAHAM","1707",""
"Map of Arizona","GILA","8146","33.7446","-110.685","GILA","8146",""
"Map of Arizona","COCONINO","12396","35.6465","-112.0424","COCONINO","12396",""
"Map of Arizona","COCHISE","11251","31.8901","-109.7497","COCHISE","11251",""
"Map of Arizona","APACHE","8598","35.3025","-109.4451","APACHE","8598",""
"Date updated"," ","","","","","",""
"% Positive Overall (Serology)","0.0336421636615811","","","","","",""
