"Tests by Day","659","2020-04-12 00:00:00","2020-04-11 00:00:00","659","659","","","","",""
"Tests by Day","641","2020-04-11 00:00:00","2020-04-10 00:00:00","641","641","","","","",""
"Tests by Day","1540","2020-04-10 00:00:00","2020-04-09 00:00:00","1540","1540","","","","",""
"Tests by Day","1686","2020-04-09 00:00:00","2020-04-08 00:00:00","1686","1686","","","","",""
"Tests by Day","1537","2020-04-08 00:00:00","2020-04-07 00:00:00","1537","1537","","","","",""
"Tests by Day","1712","2020-04-07 00:00:00","2020-04-06 00:00:00","1712","1712","","","","",""
"Tests by Day","2143","2020-04-06 00:00:00","2020-04-05 00:00:00","2143","2143","","","","",""
"Tests by Day","662","2020-04-05 00:00:00","2020-04-04 00:00:00","662","662","","","","",""
"Tests by Day","873","2020-04-04 00:00:00","2020-04-03 00:00:00","873","873","","","","",""
"Tests by Day","1826","2020-04-03 00:00:00","2020-04-02 00:00:00","1826","1826","","","","",""
"Tests by Day","1956","2020-04-02 00:00:00","2020-04-01 00:00:00","1956","1956","","","","",""
"Tests by Day","1909","2020-04-01 00:00:00","2020-03-31 00:00:00","1909","1909","","","","",""
"Tests by Day","1875","2020-03-31 00:00:00","2020-03-30 00:00:00","1875","1875","","","","",""
"Tests by Day","2001","2020-03-30 00:00:00","2020-03-29 00:00:00","2001","2001","","","","",""
"Tests by Day","600","2020-03-29 00:00:00","2020-03-28 00:00:00","600","600","","","","",""
"Tests by Day","1011","2020-03-28 00:00:00","2020-03-27 00:00:00","1011","1011","","","","",""
"Tests by Day","2005","2020-03-27 00:00:00","2020-03-26 00:00:00","2005","2005","","","","",""
"Tests by Day","2059","2020-03-26 00:00:00","2020-03-25 00:00:00","2059","2059","","","","",""
"Tests by Day","2334","2020-03-25 00:00:00","2020-03-24 00:00:00","2334","2334","","","","",""
"Tests by Day","2210","2020-03-24 00:00:00","2020-03-23 00:00:00","2210","2210","","","","",""
"Tests by Day","2182","2020-03-23 00:00:00","2020-03-22 00:00:00","2182","2182","","","","",""
"Tests by Day","578","2020-03-22 00:00:00","2020-03-21 00:00:00","578","578","","","","",""
"Tests by Day","660","2020-03-21 00:00:00","2020-03-20 00:00:00","660","660","","","","",""
"Tests by Day","1679","2020-03-20 00:00:00","2020-03-19 00:00:00","1679","1679","","","","",""
"Tests by Day","1481","2020-03-19 00:00:00","2020-03-18 00:00:00","1481","1481","","","","",""
"Tests by Day","1298","2020-03-18 00:00:00","2020-03-17 00:00:00","1298","1298","","","","",""
"Tests by Day","1217","2020-03-17 00:00:00","2020-03-16 00:00:00","1217","1217","","","","",""
"Tests by Day","918","2020-03-16 00:00:00","2020-03-15 00:00:00","918","918","","","","",""
"Tests by Day","255","2020-03-15 00:00:00","2020-03-14 00:00:00","255","255","","","","",""
"Tests by Day","211","2020-03-14 00:00:00","2020-03-13 00:00:00","211","211","","","","",""
"Tests by Day","407","2020-03-13 00:00:00","2020-03-12 00:00:00","407","407","","","","",""
"Tests by Day","287","2020-03-12 00:00:00","2020-03-11 00:00:00","287","287","","","","",""
"Tests by Day","94","2020-03-11 00:00:00","2020-03-10 00:00:00","94","94","","","","",""
"Tests by Day","45","2020-03-10 00:00:00","2020-03-09 00:00:00","45","45","","","","",""
"Tests by Day","44","2020-03-09 00:00:00","2020-03-08 00:00:00","44","44","","","","",""
"Tests by Day","7","2020-03-08 00:00:00","2020-03-07 00:00:00","7","7","","","","",""
"Tests by Day","3","2020-03-07 00:00:00","2020-03-06 00:00:00","3","3","","","","",""
"Tests by Day","20","2020-03-06 00:00:00","2020-03-05 00:00:00","20","20","","","","",""
"Tests by Day","8","2020-03-05 00:00:00","2020-03-04 00:00:00","8","8","","","","",""
"Tests by Day","11","2020-03-04 00:00:00","2020-03-03 00:00:00","11","11","","","","",""
"Tests by Day","1","2020-03-03 00:00:00","2020-03-02 00:00:00","1","1","","","","",""
